,Age,Job,Marital Status,Education,Credit,Balance (euros),Housing Loan,Personal Loan,Contact,Last Contact Day,Last Contact Month,Last Contact Duration,Campaign,Pdays,Previous,Poutcome,Subscription
13265,28.0,admin.,single,secondary,no,,,no,cellular,8,jul,78.0,4,-1.0,0,unknown,1
13266,31.0,,married,secondary,no,-329.0,yes,no,cellular,8,jul,119.0,3,,0,unknown,1
13267,32.0,blue-collar,divorced,secondary,no,-299.0,yes,no,cellular,8,jul,192.0,2,-1.0,0,unknown,1
13268,40.0,management,married,tertiary,no,,yes,no,cellular,8,jul,1720.0,4,-1.0,0,unknown,1
13269,45.0,technician,married,secondary,no,1477.0,yes,no,cellular,8,jul,,1,-1.0,0,unknown,1
13270,38.0,admin.,single,secondary,no,0.0,,no,cellular,8,jul,,3,-1.0,0,unknown,1
13271,52.0,,married,,no,,no,,cellular,8,jul,460.0,2,-1.0,0,unknown,1
13272,,blue-collar,single,secondary,no,663.0,no,yes,cellular,8,jul,819.0,3,,0,unknown,2
13273,31.0,blue-collar,single,primary,no,485.0,,yes,cellular,8,jul,447.0,2,-1.0,0,unknown,1
13274,,blue-collar,married,secondary,yes,-29.0,no,yes,cellular,8,jul,294.0,2,,0,unknown,1
13275,32.0,housemaid,married,,no,0.0,,no,telephone,8,jul,,3,-1.0,0,unknown,1
13276,35.0,services,married,secondary,no,629.0,no,yes,cellular,8,jul,518.0,2,-1.0,0,unknown,1
13277,37.0,,married,primary,no,,no,yes,telephone,8,jul,,4,-1.0,0,unknown,1
13278,,blue-collar,single,tertiary,no,-243.0,no,yes,cellular,8,jul,171.0,2,-1.0,0,unknown,1
13279,,management,married,tertiary,no,913.0,no,yes,cellular,8,jul,326.0,6,,0,unknown,1
13280,30.0,self-employed,married,secondary,no,57.0,no,yes,cellular,8,jul,,2,-1.0,0,unknown,1
13281,48.0,admin.,married,secondary,no,-509.0,no,yes,cellular,8,jul,,3,-1.0,0,unknown,1
13282,28.0,technician,single,secondary,no,31.0,no,no,cellular,8,jul,323.0,2,-1.0,0,unknown,1
13283,54.0,blue-collar,married,primary,no,-16.0,no,yes,telephone,8,jul,346.0,2,-1.0,0,unknown,1
13284,36.0,blue-collar,single,secondary,no,110.0,,,cellular,8,jul,291.0,2,-1.0,0,unknown,1
13285,41.0,,,secondary,no,-329.0,no,yes,cellular,8,jul,426.0,3,-1.0,0,unknown,1
13286,,technician,divorced,secondary,no,86.0,no,,cellular,8,jul,483.0,2,-1.0,0,unknown,1
13287,33.0,services,single,secondary,no,969.0,no,no,telephone,8,jul,,3,,0,unknown,1
13288,49.0,blue-collar,single,primary,no,1040.0,no,no,cellular,8,jul,474.0,2,-1.0,0,unknown,1
13289,39.0,admin.,married,secondary,no,7711.0,yes,,cellular,8,jul,289.0,1,-1.0,0,unknown,1
13290,30.0,technician,single,,no,137.0,no,yes,cellular,8,jul,517.0,2,-1.0,0,unknown,1
13291,59.0,retired,married,primary,no,,yes,,telephone,8,jul,71.0,1,-1.0,0,unknown,1
13292,54.0,technician,married,tertiary,no,758.0,yes,yes,cellular,8,jul,554.0,1,-1.0,0,unknown,1
13293,57.0,management,married,tertiary,no,5.0,yes,no,cellular,8,jul,96.0,1,-1.0,0,unknown,1
13294,60.0,management,married,tertiary,no,0.0,yes,no,cellular,8,jul,59.0,1,,0,unknown,1
13295,32.0,admin.,,secondary,no,-1.0,no,no,cellular,8,jul,228.0,2,-1.0,0,unknown,1
13296,29.0,management,single,tertiary,,640.0,no,no,cellular,8,jul,150.0,2,-1.0,0,unknown,1
13297,,blue-collar,married,secondary,no,-59.0,,yes,cellular,8,jul,,3,-1.0,0,unknown,1
13298,26.0,admin.,single,secondary,no,102.0,,,cellular,8,jul,658.0,2,,0,unknown,2
13299,41.0,blue-collar,married,primary,no,17.0,no,no,cellular,8,jul,,3,-1.0,0,unknown,1
13300,,technician,single,secondary,no,0.0,no,no,cellular,8,jul,362.0,2,,0,unknown,1
13301,,admin.,married,secondary,,1011.0,yes,no,cellular,8,jul,145.0,12,-1.0,0,unknown,1
13302,26.0,technician,,secondary,no,370.0,no,yes,cellular,8,jul,1061.0,4,,0,unknown,2
13303,47.0,technician,married,secondary,no,-107.0,no,,cellular,8,jul,236.0,2,-1.0,0,unknown,1
13304,36.0,management,married,tertiary,no,2309.0,yes,,cellular,8,jul,268.0,2,-1.0,0,unknown,1
13305,57.0,blue-collar,married,primary,no,0.0,no,no,cellular,8,jul,237.0,3,-1.0,0,unknown,1
13306,51.0,technician,married,secondary,no,313.0,no,,cellular,8,jul,,1,-1.0,0,unknown,1
13307,60.0,management,married,secondary,no,164.0,,yes,cellular,8,jul,171.0,1,-1.0,0,unknown,1
13308,41.0,blue-collar,divorced,unknown,no,19.0,no,yes,cellular,8,jul,,5,-1.0,0,unknown,1
13309,26.0,blue-collar,single,,no,-128.0,no,yes,cellular,8,jul,392.0,2,,0,unknown,1
13310,34.0,blue-collar,married,secondary,no,123.0,yes,no,cellular,8,jul,218.0,3,-1.0,0,unknown,1
13311,29.0,admin.,single,secondary,,-37.0,yes,no,cellular,8,jul,,35,-1.0,0,unknown,1
13312,54.0,housemaid,married,,no,8.0,no,yes,telephone,8,jul,116.0,2,,0,unknown,1
13313,27.0,management,,,no,5262.0,no,yes,cellular,8,jul,201.0,9,-1.0,0,unknown,1
13314,,retired,married,primary,no,329.0,no,yes,cellular,8,jul,520.0,3,-1.0,0,unknown,1
13315,59.0,management,married,tertiary,,,no,yes,cellular,8,jul,,3,-1.0,0,unknown,1
13316,30.0,technician,single,secondary,no,77.0,no,yes,cellular,8,jul,82.0,4,-1.0,0,unknown,1
13317,25.0,blue-collar,,secondary,no,,,,cellular,8,jul,,2,,0,unknown,2
13318,47.0,blue-collar,married,primary,no,-406.0,no,yes,telephone,8,jul,243.0,5,-1.0,0,unknown,1
13319,27.0,services,married,secondary,no,202.0,yes,no,telephone,8,jul,212.0,2,,0,unknown,1
13320,45.0,admin.,divorced,unknown,no,857.0,,no,telephone,8,jul,49.0,7,-1.0,0,unknown,1
13321,28.0,blue-collar,married,primary,no,420.0,no,yes,telephone,8,jul,65.0,3,-1.0,0,unknown,1
13322,45.0,admin.,married,secondary,no,0.0,yes,no,cellular,8,jul,376.0,1,,0,unknown,1
13323,36.0,management,single,tertiary,no,-74.0,yes,,cellular,8,jul,,2,-1.0,0,unknown,1
13324,37.0,blue-collar,married,secondary,no,,yes,no,telephone,8,jul,379.0,3,-1.0,0,unknown,1
13325,32.0,management,single,tertiary,no,191.0,no,no,cellular,8,jul,141.0,4,-1.0,0,unknown,1
13326,44.0,blue-collar,married,primary,no,,no,yes,cellular,8,jul,155.0,2,-1.0,0,unknown,1
13327,27.0,admin.,,secondary,yes,-110.0,no,,cellular,8,jul,90.0,2,-1.0,0,unknown,1
13328,25.0,blue-collar,single,secondary,no,224.0,,yes,telephone,8,jul,17.0,4,,0,unknown,1
13329,30.0,,single,,no,245.0,no,,cellular,8,jul,,2,-1.0,0,unknown,1
13330,26.0,,married,primary,no,158.0,no,yes,cellular,8,jul,,4,-1.0,0,unknown,1
13331,39.0,self-employed,married,primary,no,1551.0,no,no,telephone,8,jul,389.0,7,-1.0,0,unknown,1
13332,27.0,,single,secondary,no,-151.0,,no,cellular,8,jul,283.0,2,,0,unknown,1
13333,41.0,blue-collar,married,primary,no,-516.0,no,yes,telephone,8,jul,554.0,3,-1.0,0,unknown,1
13334,28.0,,single,tertiary,no,283.0,yes,no,cellular,8,jul,22.0,3,-1.0,0,unknown,1
13335,42.0,services,married,secondary,no,-1.0,yes,no,cellular,8,jul,38.0,2,-1.0,0,unknown,1
13336,41.0,blue-collar,married,secondary,no,97.0,no,yes,cellular,8,jul,212.0,2,,0,unknown,1
13337,26.0,blue-collar,single,primary,no,16.0,no,yes,cellular,8,jul,249.0,2,-1.0,0,unknown,1
13338,29.0,technician,single,,no,313.0,no,,cellular,8,jul,,2,-1.0,0,unknown,1
13339,44.0,,married,secondary,no,5068.0,no,,cellular,8,jul,256.0,2,-1.0,0,unknown,1
13340,55.0,admin.,married,secondary,no,859.0,no,,telephone,8,jul,153.0,1,,0,unknown,1
13341,,,,secondary,no,0.0,no,yes,cellular,8,jul,,3,-1.0,0,unknown,1
13342,,blue-collar,married,primary,no,567.0,no,yes,cellular,8,jul,241.0,3,-1.0,0,unknown,1
13343,27.0,admin.,single,secondary,no,13.0,yes,no,telephone,8,jul,103.0,1,-1.0,0,unknown,1
13344,56.0,blue-collar,married,secondary,no,339.0,no,no,telephone,8,jul,114.0,3,-1.0,0,unknown,1
13345,60.0,housemaid,married,,no,874.0,no,no,cellular,8,jul,861.0,3,-1.0,0,unknown,1
13346,59.0,retired,married,primary,no,21.0,no,no,telephone,8,jul,127.0,3,-1.0,0,unknown,1
13347,59.0,admin.,married,secondary,no,302.0,no,yes,cellular,8,jul,250.0,2,-1.0,0,unknown,1
13348,32.0,services,married,secondary,no,61.0,yes,no,cellular,8,jul,,5,-1.0,0,unknown,1
13349,28.0,blue-collar,married,primary,no,-469.0,yes,,cellular,8,jul,244.0,3,-1.0,0,unknown,1
13350,58.0,management,married,tertiary,no,136.0,yes,no,cellular,8,jul,199.0,1,-1.0,0,unknown,1
13351,41.0,,married,secondary,no,232.0,no,no,telephone,8,jul,104.0,3,-1.0,0,unknown,1
13352,49.0,technician,married,secondary,no,177.0,,yes,cellular,8,jul,191.0,1,-1.0,0,unknown,1
13353,47.0,management,married,tertiary,no,1890.0,no,no,cellular,8,jul,,1,-1.0,0,unknown,1
13354,43.0,technician,married,secondary,no,48.0,yes,no,cellular,8,jul,89.0,1,-1.0,0,unknown,1
13355,,admin.,married,secondary,no,-121.0,yes,yes,cellular,8,jul,214.0,4,-1.0,0,unknown,1
13356,56.0,,married,secondary,no,61.0,no,yes,cellular,8,jul,75.0,1,-1.0,0,unknown,1
13357,33.0,management,married,tertiary,no,6.0,,no,cellular,8,jul,,1,,0,unknown,1
13358,52.0,management,married,secondary,no,4873.0,no,no,cellular,8,jul,99.0,9,-1.0,0,unknown,1
13359,34.0,admin.,divorced,secondary,no,145.0,no,no,cellular,8,jul,183.0,5,-1.0,0,unknown,1
13360,32.0,blue-collar,married,secondary,no,4.0,yes,yes,cellular,8,jul,173.0,1,-1.0,0,unknown,1
13361,32.0,blue-collar,,secondary,,123.0,yes,no,cellular,8,jul,329.0,4,,0,unknown,1
13362,,blue-collar,married,primary,no,374.0,yes,no,cellular,8,jul,225.0,2,-1.0,0,unknown,1
13363,47.0,blue-collar,married,secondary,no,125.0,no,no,cellular,8,jul,,2,-1.0,0,unknown,1
13364,49.0,services,married,secondary,,,yes,no,telephone,8,jul,201.0,3,,0,unknown,1
13365,57.0,services,married,,no,10.0,,no,telephone,8,jul,320.0,3,-1.0,0,unknown,1
13366,,admin.,married,,no,0.0,,no,cellular,8,jul,,1,-1.0,0,unknown,1
13367,52.0,,married,secondary,no,49.0,no,yes,telephone,8,jul,280.0,5,,0,unknown,1
13368,38.0,self-employed,married,primary,no,618.0,no,no,cellular,9,jul,184.0,1,-1.0,0,unknown,1
13369,27.0,,single,tertiary,no,154.0,no,yes,cellular,9,jul,75.0,1,-1.0,0,unknown,1
13370,32.0,management,single,tertiary,no,611.0,yes,yes,cellular,9,jul,353.0,1,-1.0,0,unknown,1
13371,41.0,services,divorced,secondary,no,0.0,,no,cellular,9,jul,126.0,1,,0,unknown,1
13372,36.0,,married,,no,199.0,yes,no,cellular,9,jul,183.0,1,-1.0,0,unknown,1
13373,43.0,management,divorced,tertiary,no,0.0,,no,cellular,9,jul,134.0,1,-1.0,0,unknown,1
13374,58.0,retired,married,tertiary,no,941.0,no,yes,cellular,9,jul,,1,-1.0,0,unknown,1
13375,,blue-collar,married,secondary,yes,1.0,,,cellular,9,jul,394.0,1,-1.0,0,unknown,1
13376,40.0,admin.,married,secondary,no,,yes,no,cellular,9,jul,139.0,1,-1.0,0,unknown,1
13377,38.0,,married,secondary,no,121.0,yes,yes,cellular,9,jul,,2,,0,unknown,1
13378,34.0,services,married,primary,,31.0,no,yes,cellular,9,jul,53.0,3,-1.0,0,unknown,1
13379,44.0,technician,married,tertiary,no,-948.0,yes,yes,cellular,9,jul,,2,-1.0,0,unknown,1
13380,44.0,management,,tertiary,no,,no,,cellular,9,jul,,1,-1.0,0,unknown,1
13381,47.0,services,married,,no,0.0,yes,,telephone,9,jul,250.0,1,-1.0,0,unknown,1
13382,31.0,services,married,secondary,no,1.0,,no,cellular,9,jul,,1,-1.0,0,unknown,1
13383,41.0,technician,married,secondary,no,112.0,yes,no,cellular,9,jul,158.0,1,-1.0,0,unknown,1
13384,57.0,technician,married,secondary,no,950.0,yes,no,cellular,9,jul,1272.0,1,-1.0,0,unknown,1
13385,53.0,,married,tertiary,no,673.0,yes,,cellular,9,jul,182.0,1,-1.0,0,unknown,1
13386,,technician,married,secondary,no,20.0,yes,no,cellular,9,jul,,1,-1.0,0,unknown,1
13387,46.0,technician,married,secondary,no,152.0,no,no,cellular,9,jul,72.0,1,-1.0,0,unknown,1
13388,44.0,,married,secondary,no,233.0,no,yes,cellular,9,jul,,3,-1.0,0,unknown,1
13389,42.0,,married,tertiary,,0.0,yes,no,cellular,9,jul,98.0,1,-1.0,0,unknown,1
13390,43.0,unknown,married,primary,no,0.0,,no,cellular,9,jul,132.0,1,-1.0,0,unknown,1
13391,37.0,admin.,single,secondary,no,,no,no,cellular,9,jul,259.0,3,-1.0,0,unknown,1
13392,48.0,admin.,married,secondary,no,719.0,yes,no,cellular,9,jul,205.0,1,-1.0,0,unknown,1
13393,56.0,blue-collar,,primary,no,278.0,no,,cellular,9,jul,261.0,3,-1.0,0,unknown,1
13394,44.0,management,single,tertiary,no,6350.0,yes,no,cellular,9,jul,,1,-1.0,0,unknown,1
13395,26.0,,,secondary,no,111.0,no,no,cellular,9,jul,537.0,1,-1.0,0,unknown,2
13396,35.0,admin.,married,primary,no,1994.0,no,no,cellular,9,jul,64.0,1,-1.0,0,unknown,1
13397,35.0,services,married,secondary,no,0.0,no,yes,telephone,9,jul,42.0,1,-1.0,0,unknown,1
13398,,self-employed,single,tertiary,no,,no,,cellular,9,jul,618.0,1,-1.0,0,unknown,1
13399,54.0,management,married,secondary,no,,no,yes,cellular,9,jul,406.0,1,-1.0,0,unknown,1
13400,36.0,,,secondary,no,56.0,,no,cellular,9,jul,183.0,1,-1.0,0,unknown,1
13401,28.0,blue-collar,single,primary,no,150.0,no,yes,cellular,9,jul,,2,,0,unknown,1
13402,35.0,admin.,married,,no,332.0,no,no,cellular,9,jul,,2,-1.0,0,unknown,1
13403,53.0,management,married,tertiary,no,0.0,yes,,cellular,9,jul,296.0,1,-1.0,0,unknown,1
13404,60.0,housemaid,married,primary,no,,yes,no,cellular,9,jul,206.0,1,-1.0,0,unknown,1
13405,33.0,management,married,unknown,no,117.0,no,yes,cellular,9,jul,133.0,2,-1.0,0,unknown,1
13406,35.0,blue-collar,married,secondary,no,616.0,no,no,cellular,9,jul,317.0,1,-1.0,0,unknown,1
13407,39.0,entrepreneur,married,tertiary,,,yes,no,cellular,9,jul,97.0,1,-1.0,0,unknown,1
13408,53.0,retired,single,tertiary,no,888.0,,no,cellular,9,jul,128.0,1,,0,unknown,1
13409,,entrepreneur,married,secondary,no,118.0,,no,cellular,9,jul,296.0,1,-1.0,0,unknown,1
13410,41.0,technician,,,no,532.0,yes,no,cellular,9,jul,74.0,1,,0,unknown,1
13411,46.0,management,married,tertiary,no,-591.0,no,no,cellular,9,jul,126.0,1,-1.0,0,unknown,1
13412,33.0,admin.,,tertiary,no,0.0,yes,yes,cellular,9,jul,,3,-1.0,0,unknown,1
13413,50.0,,married,unknown,no,0.0,no,no,cellular,9,jul,,2,-1.0,0,unknown,1
13414,30.0,self-employed,married,tertiary,no,5.0,yes,,cellular,9,jul,99.0,2,-1.0,0,unknown,1
13415,52.0,technician,married,tertiary,no,3440.0,,no,cellular,9,jul,,1,-1.0,0,unknown,1
13416,46.0,blue-collar,married,unknown,no,990.0,,no,cellular,9,jul,,1,-1.0,0,unknown,1
13417,45.0,,,primary,no,452.0,yes,no,cellular,9,jul,96.0,1,-1.0,0,unknown,1
13418,57.0,housemaid,married,primary,no,2.0,no,,telephone,9,jul,,3,-1.0,0,unknown,1
13419,45.0,management,divorced,tertiary,no,,no,yes,cellular,9,jul,110.0,1,-1.0,0,unknown,1
13420,41.0,management,married,tertiary,no,0.0,no,,cellular,9,jul,55.0,1,-1.0,0,unknown,1
13421,57.0,,married,secondary,no,,no,yes,cellular,9,jul,45.0,1,-1.0,0,unknown,1
13422,41.0,technician,married,secondary,no,351.0,yes,no,cellular,9,jul,175.0,1,-1.0,0,unknown,1
13423,51.0,self-employed,married,secondary,no,-201.0,,yes,cellular,9,jul,153.0,2,-1.0,0,unknown,1
13424,50.0,services,married,secondary,no,1572.0,yes,no,cellular,9,jul,185.0,1,,0,unknown,1
13425,,self-employed,married,secondary,,170.0,,,cellular,9,jul,62.0,1,-1.0,0,unknown,1
13426,44.0,technician,married,secondary,no,266.0,,no,cellular,9,jul,72.0,1,,0,unknown,1
13427,49.0,,married,secondary,no,167.0,no,yes,cellular,9,jul,51.0,1,-1.0,0,unknown,1
13428,26.0,services,married,secondary,no,25.0,no,no,cellular,9,jul,94.0,1,-1.0,0,unknown,1
13429,45.0,blue-collar,single,secondary,,-100.0,yes,no,cellular,9,jul,93.0,1,-1.0,0,unknown,1
13430,34.0,housemaid,married,primary,no,,,no,cellular,9,jul,272.0,1,,0,unknown,1
13431,34.0,blue-collar,divorced,secondary,no,-154.0,no,no,cellular,9,jul,295.0,1,-1.0,0,unknown,1
13432,50.0,self-employed,,secondary,no,38.0,yes,no,cellular,9,jul,42.0,1,,0,unknown,1
13433,36.0,admin.,single,secondary,no,281.0,no,,cellular,9,jul,225.0,2,-1.0,0,unknown,1
13434,,,,tertiary,no,0.0,yes,no,cellular,9,jul,127.0,1,-1.0,0,unknown,1
13435,54.0,services,married,secondary,,-22.0,,yes,cellular,9,jul,85.0,1,-1.0,0,unknown,1
13436,44.0,management,,secondary,,438.0,yes,no,telephone,9,jul,42.0,1,-1.0,0,unknown,1
13437,45.0,,married,secondary,no,,yes,no,cellular,9,jul,55.0,1,-1.0,0,unknown,1
13438,59.0,management,divorced,primary,,133.0,yes,no,cellular,9,jul,206.0,1,-1.0,0,unknown,1
13439,40.0,blue-collar,married,primary,no,665.0,yes,no,cellular,9,jul,781.0,1,-1.0,0,unknown,2
13440,45.0,technician,married,secondary,no,0.0,no,no,cellular,9,jul,113.0,2,-1.0,0,unknown,1
13441,59.0,unemployed,married,tertiary,no,,yes,no,cellular,9,jul,275.0,1,,0,unknown,1
13442,56.0,technician,married,tertiary,,787.0,no,yes,cellular,9,jul,92.0,1,-1.0,0,unknown,1
13443,40.0,management,single,tertiary,no,1247.0,yes,no,cellular,9,jul,157.0,1,-1.0,0,unknown,1
13444,45.0,services,,secondary,no,5758.0,yes,no,telephone,9,jul,16.0,1,,0,unknown,1
13445,53.0,technician,single,secondary,no,-165.0,yes,no,cellular,9,jul,89.0,1,-1.0,0,unknown,1
13446,53.0,blue-collar,married,secondary,no,-626.0,yes,no,cellular,9,jul,205.0,1,-1.0,0,unknown,1
13447,33.0,services,married,secondary,no,0.0,no,no,cellular,9,jul,128.0,1,-1.0,0,unknown,1
13448,30.0,management,single,secondary,no,1090.0,yes,no,cellular,9,jul,,1,-1.0,0,unknown,1
13449,,technician,married,secondary,no,2355.0,yes,no,cellular,9,jul,515.0,1,-1.0,0,unknown,1
13450,27.0,services,single,secondary,no,387.0,no,yes,cellular,9,jul,194.0,1,,0,unknown,1
13451,60.0,retired,married,primary,no,838.0,,no,cellular,9,jul,147.0,1,-1.0,0,unknown,1
13452,35.0,admin.,married,secondary,no,1.0,yes,no,cellular,9,jul,112.0,1,-1.0,0,unknown,1
13453,33.0,management,single,tertiary,no,191.0,no,yes,telephone,9,jul,25.0,1,-1.0,0,unknown,1
13454,,blue-collar,married,secondary,no,4855.0,yes,,cellular,9,jul,285.0,1,-1.0,0,unknown,1
13455,42.0,self-employed,married,secondary,no,634.0,yes,no,cellular,9,jul,,1,,0,unknown,1
13456,31.0,management,married,tertiary,,272.0,yes,no,cellular,9,jul,174.0,1,-1.0,0,unknown,1
13457,51.0,entrepreneur,married,,no,-267.0,yes,no,cellular,9,jul,42.0,1,-1.0,0,unknown,1
13458,52.0,blue-collar,married,unknown,no,0.0,yes,no,cellular,9,jul,1486.0,1,-1.0,0,unknown,2
13459,34.0,blue-collar,single,secondary,,0.0,yes,no,cellular,9,jul,130.0,1,-1.0,0,unknown,1
13460,56.0,retired,,,no,24.0,no,yes,cellular,9,jul,44.0,1,-1.0,0,unknown,1
13461,40.0,admin.,married,secondary,no,,yes,,cellular,9,jul,145.0,1,-1.0,0,unknown,1
13462,43.0,blue-collar,married,,no,,no,yes,telephone,9,jul,238.0,8,-1.0,0,unknown,1
13463,44.0,management,,tertiary,no,1206.0,no,,cellular,9,jul,160.0,2,-1.0,0,unknown,1
13464,37.0,admin.,married,,no,214.0,yes,no,cellular,9,jul,645.0,1,-1.0,0,unknown,2
13465,36.0,technician,married,tertiary,no,3043.0,,no,cellular,9,jul,254.0,1,-1.0,0,unknown,1
13466,43.0,blue-collar,single,primary,no,0.0,no,no,cellular,9,jul,1242.0,1,-1.0,0,unknown,2
13467,58.0,entrepreneur,married,tertiary,no,,yes,no,telephone,9,jul,990.0,1,-1.0,0,unknown,2
13468,,housemaid,married,tertiary,no,8.0,yes,no,cellular,9,jul,64.0,1,-1.0,0,unknown,1
13469,31.0,management,single,unknown,,1023.0,no,yes,cellular,9,jul,219.0,1,-1.0,0,unknown,1
13470,55.0,,married,primary,,283.0,,yes,cellular,9,jul,115.0,1,,0,unknown,1
13471,47.0,blue-collar,married,secondary,no,690.0,yes,no,cellular,9,jul,113.0,1,,0,unknown,1
13472,53.0,housemaid,,primary,no,-286.0,,no,cellular,9,jul,,1,-1.0,0,unknown,1
13473,41.0,services,divorced,tertiary,no,,yes,no,cellular,9,jul,662.0,1,-1.0,0,unknown,2
13474,49.0,blue-collar,married,secondary,no,0.0,,,cellular,9,jul,,1,-1.0,0,unknown,2
13475,,admin.,,,no,4.0,yes,no,cellular,9,jul,,1,-1.0,0,unknown,1
13476,43.0,,single,,no,-2.0,no,yes,cellular,9,jul,124.0,1,-1.0,0,unknown,1
13477,41.0,admin.,married,,no,4488.0,yes,no,cellular,9,jul,321.0,1,-1.0,0,unknown,1
13478,30.0,services,single,primary,no,6.0,yes,yes,cellular,9,jul,102.0,1,-1.0,0,unknown,1
13479,36.0,technician,married,secondary,no,264.0,yes,yes,cellular,9,jul,482.0,1,-1.0,0,unknown,1
13480,43.0,technician,married,secondary,no,-754.0,,,cellular,9,jul,727.0,3,-1.0,0,unknown,2
13481,28.0,services,single,secondary,no,1950.0,no,no,cellular,9,jul,147.0,1,,0,unknown,1
13482,35.0,housemaid,married,primary,no,218.0,yes,,cellular,9,jul,127.0,1,-1.0,0,unknown,1
13483,36.0,admin.,single,,no,47.0,no,,cellular,9,jul,36.0,6,-1.0,0,unknown,1
13484,44.0,management,married,tertiary,no,368.0,no,no,cellular,9,jul,,3,-1.0,0,unknown,1
13485,43.0,management,divorced,tertiary,no,-410.0,no,yes,cellular,9,jul,189.0,1,-1.0,0,unknown,1
13486,34.0,admin.,,secondary,,0.0,yes,,cellular,9,jul,127.0,1,-1.0,0,unknown,1
13487,54.0,,married,primary,no,0.0,no,yes,telephone,9,jul,,2,-1.0,0,unknown,1
13488,60.0,blue-collar,,secondary,,19447.0,yes,,telephone,9,jul,196.0,1,-1.0,0,unknown,1
13489,39.0,blue-collar,married,secondary,no,1045.0,yes,yes,cellular,9,jul,290.0,13,-1.0,0,unknown,1
13490,48.0,technician,married,,no,-205.0,yes,yes,cellular,9,jul,112.0,1,,0,unknown,1
13491,46.0,,married,tertiary,,917.0,no,no,cellular,9,jul,389.0,5,,0,unknown,1
13492,,management,married,tertiary,no,0.0,yes,no,cellular,9,jul,310.0,1,-1.0,0,unknown,1
13493,,management,single,tertiary,no,-426.0,yes,no,cellular,9,jul,294.0,1,-1.0,0,unknown,1
13494,59.0,retired,married,unknown,yes,-114.0,,,cellular,9,jul,611.0,2,-1.0,0,unknown,1
13495,34.0,,married,secondary,no,,no,,cellular,9,jul,62.0,1,-1.0,0,unknown,1
13496,,technician,married,secondary,no,492.0,yes,no,cellular,9,jul,259.0,1,-1.0,0,unknown,1
13497,25.0,student,married,tertiary,no,0.0,yes,no,cellular,9,jul,160.0,1,-1.0,0,unknown,1
13498,40.0,admin.,married,secondary,no,-253.0,yes,no,cellular,9,jul,,1,-1.0,0,unknown,1
13499,35.0,,married,tertiary,no,2682.0,yes,no,cellular,9,jul,156.0,1,-1.0,0,unknown,1
13500,28.0,self-employed,single,secondary,no,241.0,yes,no,cellular,9,jul,275.0,1,-1.0,0,unknown,1
13501,,management,single,tertiary,no,416.0,no,no,cellular,9,jul,,1,-1.0,0,unknown,1
13502,57.0,,married,secondary,no,140.0,yes,,cellular,9,jul,143.0,1,,0,unknown,1
13503,44.0,technician,married,secondary,no,381.0,yes,no,cellular,9,jul,92.0,1,,0,unknown,1
13504,53.0,technician,divorced,secondary,no,,,no,cellular,9,jul,,1,-1.0,0,unknown,1
13505,45.0,management,married,tertiary,no,4693.0,no,yes,cellular,9,jul,148.0,2,-1.0,0,unknown,1
13506,,management,married,unknown,no,247.0,no,,cellular,9,jul,366.0,1,-1.0,0,unknown,1
13507,31.0,services,divorced,unknown,no,0.0,no,yes,cellular,9,jul,138.0,1,-1.0,0,unknown,1
13508,42.0,housemaid,married,secondary,no,,yes,no,cellular,9,jul,,1,,0,unknown,1
13509,60.0,housemaid,married,secondary,no,681.0,no,yes,cellular,9,jul,,1,,0,unknown,1
13510,31.0,admin.,single,secondary,no,1.0,no,no,cellular,9,jul,236.0,1,-1.0,0,unknown,1
13511,43.0,retired,single,,no,140.0,no,,telephone,9,jul,52.0,1,-1.0,0,unknown,1
13512,48.0,,married,primary,no,788.0,no,no,telephone,9,jul,36.0,2,-1.0,0,unknown,1
13513,35.0,management,single,unknown,no,2361.0,no,no,cellular,9,jul,90.0,10,-1.0,0,unknown,1
13514,29.0,admin.,,tertiary,yes,0.0,no,yes,cellular,9,jul,,3,-1.0,0,unknown,2
13515,44.0,entrepreneur,married,tertiary,no,1808.0,yes,no,cellular,9,jul,127.0,1,-1.0,0,unknown,1
13516,54.0,management,married,primary,no,621.0,no,yes,cellular,9,jul,,1,,0,unknown,1
13517,57.0,retired,single,secondary,no,976.0,yes,no,cellular,9,jul,98.0,1,,0,unknown,1
13518,55.0,,married,tertiary,,,yes,no,cellular,9,jul,111.0,1,-1.0,0,unknown,1
13519,37.0,blue-collar,married,unknown,no,0.0,,no,cellular,9,jul,,1,-1.0,0,unknown,1
13520,41.0,entrepreneur,married,secondary,no,557.0,no,yes,cellular,9,jul,,1,-1.0,0,unknown,1
13521,45.0,technician,married,secondary,no,1028.0,yes,no,cellular,9,jul,113.0,1,-1.0,0,unknown,1
13522,57.0,,married,secondary,no,323.0,yes,no,telephone,9,jul,,1,-1.0,0,unknown,1
13523,35.0,management,,tertiary,no,6997.0,yes,no,cellular,9,jul,1121.0,1,-1.0,0,unknown,2
13524,42.0,entrepreneur,married,tertiary,no,0.0,,no,cellular,9,jul,236.0,1,,0,unknown,1
13525,52.0,management,married,,no,324.0,no,no,cellular,9,jul,81.0,1,-1.0,0,unknown,1
13526,34.0,technician,married,,no,0.0,no,,cellular,9,jul,628.0,1,-1.0,0,unknown,1
13527,,,divorced,primary,no,75.0,yes,no,cellular,9,jul,118.0,1,-1.0,0,unknown,1
